id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude
1,Yard understand do contain end.,Danielle,Staten Island,Shared room,77.0,14,88,2.77,250,40.6155,-74.0752
2,Maintain nothing send business mention.,Steven,Bronx,Shared room,116.0,1,183,4.76,248,40.5546,-73.8239
3,Campaign lay.,Caleb,Staten Island,Shared room,10.0,14,253,2.05,251,40.6663,-73.814
4,Everything page.,Jose,Bronx,Entire home/apt,173.0,1,289,0.15,112,40.6168,-74.0401
5,Throughout media tell.,Devin,Staten Island,Private room,54.0,2,399,2.29,253,40.7199,-74.1047
6,Stop run interesting former.,Lynn,Manhattan,Private room,61.0,30,278,4.12,187,40.7168,-73.8473
7,Feeling include certainly manage.,Vanessa,Bronx,Shared room,16.0,2,217,0.51,334,40.8005,-74.0309
8,Place contain right edge late.,Donna,Manhattan,Private room,45.0,3,178,4.31,44,40.6756,-73.7524
9,Fly discuss from.,Katie,Brooklyn,Entire home/apt,152.0,30,377,2.94,179,40.8444,-73.9059
10,Read spend could family hospital.,Paul,Bronx,Entire home/apt,117.0,7,71,3.92,105,40.8222,-73.922
11,Physical but institution structure.,Raymond,Staten Island,Private room,91.0,7,275,0.84,360,40.6171,-73.9209
12,Painting case product.,Daniel,Staten Island,Shared room,38.0,30,48,0.68,210,40.8675,-73.753
13,Maintain never politics while.,Tina,Brooklyn,Shared room,30.0,30,67,1.25,364,40.6288,-74.051
14,Turn nearly.,Christopher,Bronx,Private room,44.0,2,295,3.16,321,40.6657,-73.9692
15,Newspaper dark.,Lisa,Manhattan,Private room,57.0,7,383,1.39,188,40.6819,-73.9548
16,Among apply responsibility child.,Joseph,Staten Island,Entire home/apt,180.0,30,396,4.24,47,40.7924,-73.9666
17,Worker because.,Jerry,Queens,Entire home/apt,170.0,30,273,1.99,219,40.8299,-73.9521
18,Whole ago what alone feeling.,Rachel,Queens,Private room,41.0,3,280,2.89,289,40.841,-73.8347
19,Agree success section sense.,Whitney,Manhattan,Entire home/apt,154.0,1,320,3.92,235,40.5065,-73.7782
20,Reach camera vote community.,Raymond,Brooklyn,Private room,110.0,5,0,4.96,219,40.5809,-73.8746
21,Space example network.,Melinda,Brooklyn,Shared room,10.0,3,81,4.37,140,40.5373,-74.0058
22,Reality morning you race pass.,Timothy,Manhattan,Private room,102.0,14,332,0.83,202,40.7502,-73.8596
23,Television use.,Gregory,Brooklyn,Private room,53.0,14,46,3.52,0,40.5854,-74.1188
24,Impact clearly continue ready.,Nicholas,Staten Island,Entire home/apt,173.0,7,348,2.23,4,40.7782,-73.8232
25,Morning very itself.,April,Bronx,Shared room,10.0,2,244,0.35,196,40.5357,-73.8276
26,If really same pretty pressure.,Jeremy,Manhattan,Private room,10.0,3,153,0.69,68,40.7566,-73.8791
27,Produce first test.,Joshua,Manhattan,Shared room,10.0,7,4,3.05,84,40.676,-73.861
28,Theory next but sell star.,Lynn,Brooklyn,Private room,82.0,7,351,2.21,111,40.5347,-74.1098
29,Task involve condition.,Victor,Manhattan,Shared room,50.0,14,196,1.76,219,40.6258,-74.0941
30,Provide instead national.,Michael,Queens,Shared room,10.0,1,127,2.77,307,40.7885,-74.036
31,Describe old service next.,Jasmine,Manhattan,Shared room,66.0,3,105,2.59,260,40.5755,-73.9933
32,Production single enter student.,Vanessa,Manhattan,Entire home/apt,84.0,5,197,0.56,255,40.7552,-74.1216
33,Provide responsibility important show.,Kimberly,Manhattan,Private room,77.0,3,67,1.93,291,40.6683,-73.9315
34,Into type always.,Christina,Brooklyn,Private room,32.0,30,37,0.08,34,40.5055,-74.0637
35,Open exist sure.,Frederick,Manhattan,Private room,54.0,7,146,3.14,256,40.8068,-73.9806
36,Right education technology.,Robert,Bronx,Entire home/apt,152.0,14,274,2.69,78,40.611,-74.026
37,Would bring white.,Jamie,Staten Island,Entire home/apt,116.0,30,79,2.68,200,40.7346,-73.8447
38,Support campaign.,Michael,Manhattan,Private room,65.0,14,223,3.65,122,40.5232,-74.1155
39,Probably whatever.,Omar,Bronx,Entire home/apt,190.0,5,313,3.04,158,40.7664,-73.8868
40,Week answer.,James,Brooklyn,Entire home/apt,127.0,1,362,0.69,5,40.5655,-73.7688
41,Scientist prevent record walk.,Samantha,Staten Island,Shared room,73.0,30,369,1.3,190,40.5508,-73.8376
42,Maybe our recent idea resource.,Tracie,Queens,Shared room,10.0,1,394,4.5,171,40.8228,-74.0412
43,Resource brother shoulder.,Andrew,Manhattan,Private room,101.0,14,295,3.14,254,40.6821,-74.006
44,Economy improve source mean.,Charles,Bronx,Shared room,98.0,2,188,0.79,52,40.8577,-73.8804
45,Born product choice.,Sarah,Manhattan,Entire home/apt,51.0,14,260,0.01,6,40.5978,-73.9613
46,Human kid hour.,Anthony,Bronx,Entire home/apt,118.0,2,18,2.76,365,40.7963,-73.9823
47,Thousand power third sense.,Jane,Queens,Entire home/apt,173.0,5,368,1.6,39,40.7286,-74.1022
48,Off friend.,George,Manhattan,Entire home/apt,142.0,2,264,4.91,205,40.5276,-73.964
49,Base argue people.,Joshua,Queens,Private room,95.0,3,44,2.77,4,40.6476,-74.0334
50,Fund stand.,Derek,Queens,Shared room,16.0,7,124,2.32,302,40.8887,-73.7509
